上市编号,上市公司名,违纪类型,红头文件
688377,迪威尔,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/eb0f4a81-ba21-4edf-92be-caffebed3e9b.pdf
688700,东威科技,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/d87b8227-7a09-4d00-96de-db06356c7a57.pdf
600078,*ST澄星,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/0327fd3c-46cb-4e32-ab8b-ed62088b9abe.pdf
600078,*ST澄星,公开认定,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/0327fd3c-46cb-4e32-ab8b-ed62088b9abe.pdf
600078,*ST澄星,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/0327fd3c-46cb-4e32-ab8b-ed62088b9abe.pdf
600090,*ST济堂,监管工作函,NO SUCH FILE!
603729,ST龙韵,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/dc4f43f0-218a-4781-b795-87881030bcdf.pdf
600589,ST榕泰,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/59aea8dd-89c3-4808-9074-394488b3c8e1.pdf
600589,ST榕泰,公开认定,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/59aea8dd-89c3-4808-9074-394488b3c8e1.pdf
600589,ST榕泰,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/59aea8dd-89c3-4808-9074-394488b3c8e1.pdf
600522,中天科技,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/bf46c8b2-c6ac-426e-b099-b67663e65326.pdf
600804,鹏博士,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/1a51a6ef-cc28-4cd2-a648-fb98a6f1e034.pdf
603909,合诚股份,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/28783c2e-f10b-4661-aabc-84a41c429886.pdf
603171,税友股份,监管工作函,NO SUCH FILE!
600609,金杯汽车,监管工作函,NO SUCH FILE!
603322,超讯通信,监管工作函,NO SUCH FILE!
600248,陕西建工,监管工作函,NO SUCH FILE!
600872,中炬高新,监管工作函,NO SUCH FILE!
600751,海航科技,监管工作函,NO SUCH FILE!
600892,大晟文化,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/41428905-f0b5-4cbe-bfc9-1e0c5ea9b676.pdf
603222,济民医疗,监管工作函,NO SUCH FILE!
600872,中炬高新,监管工作函,NO SUCH FILE!
600226,ST瀚叶,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/b1a4c13d-b5d1-4d89-b20c-789f66413291.pdf
600593,*ST圣亚,监管工作函,NO SUCH FILE!
688408,中信博,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/8d776304-6a7f-40ae-898d-24e4595a909a.pdf
603900,莱绅通灵,监管工作函,NO SUCH FILE!
688133,泰坦科技,监管工作函,NO SUCH FILE!
603729,ST龙韵,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/c05b4035-fffb-4cf6-a0a9-ecd5f5d24841.pdf
603729,ST龙韵,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/95448112-d081-4c73-8e92-d969df74c888.pdf
600288,大恒科技,监管工作函,NO SUCH FILE!
603077,和邦生物,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/e9bf589c-a46c-4349-9e04-a575922fa9ac.pdf
600781,ST辅仁,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/5db5ebdc-e502-43b3-b9be-94a138fb752e.pdf
600781,ST辅仁,公开认定,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/5db5ebdc-e502-43b3-b9be-94a138fb752e.pdf
600856,*ST中天,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/8cbe6eb8-c9e5-4ced-8ad9-daec5cc4625f.pdf
603733,仙鹤股份,监管工作函,NO SUCH FILE!
603297,永新光学,监管工作函,NO SUCH FILE!
605289,罗曼股份,监管警示,http://www.sse.com.cn/disclosure/credibility/supervision/measures/focus/c/4380480f-4d8d-4d3f-b485-bce840807478.pdf
600870,*ST厦华,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/167f76a3-f902-44fc-9d57-67a73f13802a.pdf
688338,赛科希德,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/6ec9b29c-cc0f-498d-b861-27bc46425ead.pdf
603557,ST起步,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/a51bdb55-af30-4c4c-a9aa-ebbf73250969.pdf
603557,ST起步,公开谴责,http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/a51bdb55-af30-4c4c-a9aa-ebbf73250969.pdf
603758,秦安股份,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/f0ee8a84-3640-41d7-a08d-b5e0b4665e82.pdf
600340,华夏幸福,监管工作函,NO SUCH FILE!
600963,岳阳林纸,通报批评,http://www.sse.com.cn/disclosure/credibility/supervision/measures/criticism/c/777091f6-ab91-4f63-ad54-fdac028bcec1.pdf
600804,鹏博士,监管工作函,NO SUCH FILE!
600810,神马股份,监管工作函,NO SUCH FILE!
603042,华脉科技,监管工作函,NO SUCH FILE!
